date,name,value,deaths
2020-01-15,Australia,0,0
2020-01-18,Australia,0,0
2020-01-22,Australia,0,0
2020-01-25,Australia,1,0
2020-01-29,Australia,4,0
2020-02-01,Australia,9,0
2020-02-05,Australia,12,0
2020-02-08,Australia,14,0
2020-02-12,Australia,14,0
2020-02-15,Australia,15,0
2020-02-19,Australia,15,0
2020-02-22,Australia,21,0
2020-02-26,Australia,22,0
2020-02-29,Australia,25,0
2020-03-04,Australia,41,1
2020-03-07,Australia,63,2
2020-03-11,Australia,112,3
2020-03-14,Australia,197,3
2020-03-18,Australia,454,5
2020-03-21,Australia,874,7
2020-03-25,Australia,2423,8
2020-03-28,Australia,3378,13
2020-04-01,Australia,4707,20
2020-04-04,Australia,5548,30
2020-04-08,Australia,5956,45
2020-04-11,Australia,6238,54
2020-04-15,Australia,6416,61
2020-04-18,Australia,6533,67
2020-04-22,Australia,6647,74
2020-04-25,Australia,6687,79
2020-04-29,Australia,6738,88
2020-05-02,Australia,6767,93
2020-05-06,Australia,6849,96
2020-05-09,Australia,6914,97
2020-05-13,Australia,6964,97
2020-05-16,Australia,7019,98
2020-05-20,Australia,7068,99
2020-05-23,Australia,7095,101
2020-05-27,Australia,7133,102
2020-01-15,Belgium,0,0
2020-01-18,Belgium,0,0
2020-01-22,Belgium,0,0
2020-01-25,Belgium,0,0
2020-01-29,Belgium,0,0
2020-02-01,Belgium,0,0
2020-02-05,Belgium,1,0
2020-02-08,Belgium,1,0
2020-02-12,Belgium,1,0
2020-02-15,Belgium,1,0
2020-02-19,Belgium,1,0
2020-02-22,Belgium,1,0
2020-02-26,Belgium,1,0
2020-02-29,Belgium,1,0
2020-03-04,Belgium,13,0
2020-03-07,Belgium,109,0
2020-03-11,Belgium,267,0
2020-03-14,Belgium,559,3
2020-03-18,Belgium,1243,5
2020-03-21,Belgium,2257,37
2020-03-25,Belgium,4269,122
2020-03-28,Belgium,7284,289
2020-04-01,Belgium,12775,705
2020-04-04,Belgium,16770,1143
2020-04-08,Belgium,22194,2035
2020-04-11,Belgium,26667,3019
2020-04-15,Belgium,31119,4157
2020-04-18,Belgium,36138,5163
2020-04-22,Belgium,40956,5998
2020-04-25,Belgium,44293,6679
2020-04-29,Belgium,47334,7331
2020-05-02,Belgium,49032,7703
2020-05-06,Belgium,50509,8016
2020-05-09,Belgium,52011,8521
2020-05-13,Belgium,53779,8761
2020-05-16,Belgium,54644,8959
2020-05-20,Belgium,55791,9108
2020-05-23,Belgium,56511,9212
2020-05-27,Belgium,57455,9334
2020-01-15,Brazil,0,0
2020-01-18,Brazil,0,0
2020-01-22,Brazil,0,0
2020-01-25,Brazil,0,0
2020-01-29,Brazil,0,0
2020-02-01,Brazil,0,0
2020-02-05,Brazil,0,0
2020-02-08,Brazil,0,0
2020-02-12,Brazil,0,0
2020-02-15,Brazil,0,0
2020-02-19,Brazil,0,0
2020-02-22,Brazil,0,0
2020-02-26,Brazil,1,0
2020-02-29,Brazil,1,0
2020-03-04,Brazil,2,0
2020-03-07,Brazil,13,0
2020-03-11,Brazil,34,0
2020-03-14,Brazil,98,0
2020-03-18,Brazil,291,1
2020-03-21,Brazil,904,11
2020-03-25,Brazil,2201,46
2020-03-28,Brazil,3417,92
2020-04-01,Brazil,5717,201
2020-04-04,Brazil,9056,359
2020-04-08,Brazil,13717,667
2020-04-11,Brazil,19638,1056
2020-04-15,Brazil,25262,1532
2020-04-18,Brazil,33682,2141
2020-04-22,Brazil,43079,2741
2020-04-25,Brazil,52995,3670
2020-04-29,Brazil,71886,5017
2020-05-02,Brazil,91589,6329
2020-05-06,Brazil,114715,7921
2020-05-09,Brazil,145328,9897
2020-05-13,Brazil,177589,12400
2020-05-16,Brazil,218223,14817
2020-05-20,Brazil,271628,17971
2020-05-23,Brazil,330890,21048
2020-05-27,Brazil,391222,24512
2020-01-15,China,59,2
2020-01-18,China,80,2
2020-01-22,China,526,17
2020-01-25,China,1323,41
2020-01-29,China,5994,132
2020-02-01,China,11809,259
2020-02-05,China,24320,492
2020-02-08,China,34625,723
2020-02-12,China,44724,1114
2020-02-15,China,66559,1524
2020-02-19,China,74258,2008
2020-02-22,China,76369,2347
2020-02-26,China,78159,2717
2020-02-29,China,79355,2837
2020-03-04,China,80380,2983
2020-03-07,China,80768,3072
2020-03-11,China,80908,3161
2020-03-14,China,80973,3194
2020-03-18,China,81086,3241
2020-03-21,China,81281,3259
2020-03-25,China,81631,3285
2020-03-28,China,81946,3299
2020-04-01,China,82295,3310
2020-04-04,China,82527,3330
2020-04-08,China,82784,3337
2020-04-11,China,83004,3343
2020-04-15,China,83352,3346
2020-04-18,China,83785,4636
2020-04-22,China,83864,4636
2020-04-25,China,83899,4636
2020-04-29,China,83940,4637
2020-05-02,China,83959,4637
2020-05-06,China,83968,4637
2020-05-09,China,83976,4637
2020-05-13,China,84018,4637
2020-05-16,China,84038,4637
2020-05-20,China,84065,4638
2020-05-23,China,84081,4638
2020-05-27,China,84103,4638
2020-01-15,Germany,0,0
2020-01-18,Germany,0,0
2020-01-22,Germany,0,0
2020-01-25,Germany,0,0
2020-01-29,Germany,4,0
2020-02-01,Germany,7,0
2020-02-05,Germany,11,0
2020-02-08,Germany,13,0
2020-02-12,Germany,15,0
2020-02-15,Germany,15,0
2020-02-19,Germany,15,0
2020-02-22,Germany,15,0
2020-02-26,Germany,17,0
2020-02-29,Germany,57,0
2020-03-04,Germany,196,0
2020-03-07,Germany,684,0
2020-03-11,Germany,1296,2
2020-03-14,Germany,3062,5
2020-03-18,Germany,7156,13
2020-03-21,Germany,18187,45
2020-03-25,Germany,31554,149
2020-03-28,Germany,48582,325
2020-04-01,Germany,67366,732
2020-04-04,Germany,85778,1158
2020-04-08,Germany,103228,1861
2020-04-11,Germany,117658,2544
2020-04-15,Germany,127584,3254
2020-04-18,Germany,137439,4110
2020-04-22,Germany,145694,4879
2020-04-25,Germany,152438,5500
2020-04-29,Germany,157641,6115
2020-05-02,Germany,161703,6575
2020-05-06,Germany,164897,6996
2020-05-09,Germany,168551,7369
2020-05-13,Germany,171306,7634
2020-05-16,Germany,173772,7881
2020-05-20,Germany,176007,8090
2020-05-23,Germany,177850,8216
2020-05-27,Germany,179364,8349
2020-01-15,Spain,0,0
2020-01-18,Spain,0,0
2020-01-22,Spain,0,0
2020-01-25,Spain,0,0
2020-01-29,Spain,0,0
2020-02-01,Spain,1,0
2020-02-05,Spain,1,0
2020-02-08,Spain,1,0
2020-02-12,Spain,2,0
2020-02-15,Spain,2,0
2020-02-19,Spain,2,0
2020-02-22,Spain,2,0
2020-02-26,Spain,9,0
2020-02-29,Spain,54,0
2020-03-04,Spain,267,0
2020-03-07,Spain,764,5
2020-03-11,Spain,3274,35
2020-03-14,Spain,7641,121
2020-03-18,Spain,17688,491
2020-03-21,Spain,31750,1002
2020-03-25,Spain,57506,2696
2020-03-28,Spain,83885,4858
2020-04-01,Spain,111680,8189
2020-04-04,Spain,133198,10935
2020-04-08,Spain,153190,13798
2020-04-11,Spain,168022,15843
2020-04-15,Spain,182491,18276
2020-04-18,Spain,193965,20043
2020-04-22,Spain,200733,21717
2020-04-25,Spain,208269,22902
2020-04-29,Spain,213942,24275
2020-05-02,Spain,217804,25100
2020-05-06,Spain,221124,25857
2020-05-09,Spain,223961,26478
2020-05-13,Spain,228691,27104
2020-05-16,Spain,230698,27563
2020-05-20,Spain,232555,27888
2020-05-23,Spain,235290,28678
2020-05-27,Spain,236769,27118
2020-01-15,France,0,0
2020-01-18,France,0,0
2020-01-22,France,0,0
2020-01-25,France,3,0
2020-01-29,France,4,0
2020-02-01,France,6,0
2020-02-05,France,6,0
2020-02-08,France,11,0
2020-02-12,France,11,0
2020-02-15,France,11,1
2020-02-19,France,12,1
2020-02-22,France,12,1
2020-02-26,France,14,1
2020-02-29,France,57,2
2020-03-04,France,212,4
2020-03-07,France,613,9
2020-03-11,France,1784,33
2020-03-14,France,3661,79
2020-03-18,France,7730,175
2020-03-21,France,12612,450
2020-03-25,France,22302,1100
2020-03-28,France,32964,1995
2020-04-01,France,52128,3523
2020-04-04,France,64338,6507
2020-04-08,France,78167,10328
2020-04-11,France,90676,13197
2020-04-15,France,103573,15729
2020-04-18,France,109252,18681
2020-04-22,France,117324,20796
2020-04-25,France,122577,22245
2020-04-29,France,126835,23660
2020-05-02,France,130185,24594
2020-05-06,France,132967,25531
2020-05-09,France,138421,26230
2020-05-13,France,140227,26991
2020-05-16,France,141919,27555
2020-05-20,France,143427,28022
2020-05-23,France,144566,28289
2020-05-27,France,145555,28530
2020-01-15,United Kingdom,0,0
2020-01-18,United Kingdom,0,0
2020-01-22,United Kingdom,0,0
2020-01-25,United Kingdom,0,0
2020-01-29,United Kingdom,0,0
2020-02-01,United Kingdom,2,0
2020-02-05,United Kingdom,2,0
2020-02-08,United Kingdom,3,0
2020-02-12,United Kingdom,8,0
2020-02-15,United Kingdom,9,0
2020-02-19,United Kingdom,9,0
2020-02-22,United Kingdom,9,0
2020-02-26,United Kingdom,13,0
2020-02-29,United Kingdom,18,0
2020-03-04,United Kingdom,51,0
2020-03-07,United Kingdom,163,1
2020-03-11,United Kingdom,373,7
2020-03-14,United Kingdom,707,10
2020-03-18,United Kingdom,1950,81
2020-03-21,United Kingdom,3983,194
2020-03-25,United Kingdom,8077,508
2020-03-28,United Kingdom,14543,1161
2020-04-01,United Kingdom,25150,2425
2020-04-04,United Kingdom,38168,4461
2020-04-08,United Kingdom,55242,7471
2020-04-11,United Kingdom,70272,10760
2020-04-15,United Kingdom,93873,14073
2020-04-18,United Kingdom,108692,16879
2020-04-22,United Kingdom,129044,20223
2020-04-25,United Kingdom,143464,22792
2020-04-29,United Kingdom,161145,25302
2020-05-02,United Kingdom,177454,27510
2020-05-06,United Kingdom,194990,29427
2020-05-09,United Kingdom,211364,31241
2020-05-13,United Kingdom,226463,32692
2020-05-16,United Kingdom,236711,33998
2020-05-20,United Kingdom,248818,35341
2020-05-23,United Kingdom,254195,36393
